번호,제목,내용,작성자,작성일
1,트링크AI는 지역관광 솔루션입니다,"텍스트 마이닝, 대화형 자연어 처리 기술로 강화된 인공지능이 해답을 제시합니다. 3. 모든 담당자가 쉽게 인사이트를 활용할 수 있도록 시각화 자료를 제공합니다....",t-link,21시간 전
2,패스트캠퍼스 챌린지 10일차(수요일),ly/3FVdhDa #패스트캠퍼스 #패캠챌린지 #직장인인강 #직장인자기계발 #패스트캠퍼스후기 #김기현의딥러닝을활용한자연어처리입문올인원패키지Online,HELLO WORLD!,22시간 전
3,"다급한 기업, IT인재 직접 키워…컴공·전산 서울 대졸자 추월",이 프로그램은 자연어 처리 기법을 활용해 법률 문서의 내용이 잘 요약된 문장을... 신경망처리장치(NPU) 개발을 위 해선 컴퓨터공학을 비롯한 소프트웨어에 대한...,긍정적 변수,23시간 전
4,"2021년 11월 9일 상한가(갤럭시아에스엠, 셀바스AI, 하이트론...","음성인식(STT), 음성합성(TTS), 자연어처리, 필기인식 등의 AI 솔루션을 제공하고... 이 회사는 건축용 자재를 제조하는 데크 플레이트 부문, 조선용 철판을 표면처리...",흔하디 흔한 아카시아꿀의 이야기,어제
5,인공지능을 넘어 인공자아의 시대로 도약,"일각에서는 2032년이면 GPT-3보다 1000배의 학습처리능력을 가진 인공지능이 탄생할... 또한, 일반 상식에 대한 이미지나 자연어 처리가 가능하도록, 상식을 객관적으로...",IITP 정보통신기획평가원,어제
6,[디지털 시대의 전공들] 중앙대학교 소프트웨어 학부,"영상처리 4학년 캡스톤디자인(2), 멀티코어컴퓨팅, 무선이동통신, 네트워크응용설계, 정보보호이론, 생체인식및응용, 자연어처리및정보검색, 패턴인식, 컴퓨터비전...",IT:코딩:메이커 정보 소개 by 마젤란,어제
7,"셀바스AI-우리가 모르는 메타버스 수혜주, 절대적 저평가...","음성인식(STT), 음성합성(TTS), 자연어처리, 필기인식 등의 AI 솔루션을 제 공하고 있다. 셀바스AI의 음성기술을 주목해야한다. 각 도메 인별 데이터 학습을 통해 98...",오직 믿음으로,어제
8,"NVIDIA, 신규 Jetson AGX Orin 공개","향상된 처리능력, 이전 세대인 Jetson AGX Xavier의 폼팩터 및 핀에 대한... 이는 개발자가 자연어 이해, 3D 인식, 멀티센서 퓨전 등과 관련된 엣지(edge)...",- JuneSToRY -,어제
9,메타버스 관련주로 떠오르는 셀바스AI +78% 성공,"영상지능, 자연어처리 등 HCI 기술 경쟁력을 강화하고 있다고 재벌투자연구소 전문가분께서 알려주셨습니다 주식 후기에서 가장 중요한 수익 이야기를 해볼까...",춘발이네,어제
10,[GIP 뉴스레터_11월 2주] 넷플릭스가 게임 만든다고?,"대표적으로 신약개발, 배터리 성능 개선, 날씨 예측, 주식 선별, 양자 자연어처리, 이동경로 최적화, 교통 관리, 데이터 보호 등 생활과 밀접한 기술에 양자 컴퓨터가...",글로벌ICT포털 GIP,어제
11,[자바공부] 자바알고리즘이란 무엇인가?,"컴퓨터는 정확하게 무엇을 해야 할지 처리 내용과 처리 순서를 모두 구체적으로... 알고리즘은 자연어, 의사코드, 순서도, 프로그래밍 언어 등으로 표현이 가능합니다....",구디아카데미 공식 블로그,어제
12,파이썬의 강력함을 느낄 수 있는 「한 권으로 다지는 머신...,▶ 심층 신경망(DNN) 처리 ▶ 자연어 처리 ▶ 편미분 방정식 ▶ 추상화 ▶ 이미지... 주요 역할: 데이터 조작 및 분석 NLTK NLTK는 Natural Language Toolkit(자연어 툴킷)의...,짧은 불친절,어제
13,11/10 주린이의 받아쓰는 시황정리(feat. 삼프로 tv),"AI, 자연어 처리 기술 - 로보틱스, 헬스케어, 자율주행 관련 AI 기술 - 메타버스를 위한 새로운 애플리케이션 - 공장도시 및 지역 디지털 트윈 구축 =>딥러닝...",40대정착기,어제
14,[월230/수원] 삼성전기 AI인공지능 챗봇 트레이너,"20년간 자체 개발한 자연어처리기술과 머신러닝, 텍스트마이닝, 의미분석 및 검색 등이 복합적으로 융합된 인공지능 기반 하이브리드 챗봇 솔루션입니다....",소정이,어제
15,"[영상] 전상호 코어에이아이(kore.ai,) 상무, '대화형 AI...",kr) #데모 #코어에이아이 #원격지원 #챗봇 #IVR #컨택센터 #자연어처리... 인지검색 #자연언어처리 #챗봇고도화 #챗봇플랫폼 #가상직원 #디지털직원 #AI직원...,코어에이아이,어제
16,빅 데이터란? 특징과 의미를 알아봅니다.,"학습, 자연어 처리, 패턴 인식 등이 분석 기법에 해당한다. 복잡성(Complexity) 데이터의 구조나 데이터의 획득과 처리에 드는 속도, 도메인 규칙이나, 저장 타입 등...",고수들의한수,어제
17,[개발 2유닛] 무하유의 서비스를 만들어가는 “서비스...,"민프로 저는 ‘자연어를 이해하는 AI 기술 기업, 무하유’라는 회사 슬로건을 보고... 서비스에 문장 처리 기술과 AI 기술을 적용시키는 좋은 경험을 할 수 있고요....",AI기술 기업 무하유,어제
18,[에임리치] 비트코인 시총 3조 달러 근접… ‘ETH’ 급등...,예산법안을 처리한 것이 증시에 호재로 작용하면서 소폭 상승 마감했다.... 추출하여 자연어 처리방식으로 실시한 '비트코인'(bitcoin)라는 단어에 대한...,블록오션님의블로그,어제
